,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,year
0,Arizona,4809,No,Basic,College,2011-02-18,Employed,M,48029,Suburban,Married,61,7.0,52,0.0,9,Corporate Auto,Corporate L3,Offer3,Agent,293,Four-Door Car,Medsize,Manual,February,2011
1,California,2229,No,Basic,College,2011-01-18,Unemployed,F,0,Suburban,Single,64,3.0,26,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,745,Four-Door Car,Medsize,Manual,January,2011
2,Washington,14948,No,Basic,Bachelor,2011-02-10,Employed,M,22139,Suburban,Single,100,34.0,31,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,480,SUV,Medsize,Automatic,February,2011
3,Oregon,22332,Yes,Extended,College,2011-01-11,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate Auto,Corporate L3,Offer2,Branch,484,Four-Door Car,Medsize,Automatic,January,2011
4,Oregon,9025,No,Premium,Bachelor,2011-01-17,Medical Leave,F,23675,Suburban,Married,117,15.0,31,0.0,7,Personal Auto,Personal L2,Offer1,Branch,708,Four-Door Car,Medsize,Manual,January,2011
5,California,5035,No,Basic,Doctor,2011-02-14,Employed,F,37405,Urban,Married,63,8.0,99,3.0,4,Corporate Auto,Corporate L2,Offer2,Branch,288,Four-Door Car,Medsize,Manual,February,2011
6,California,4956,No,Basic,High School or Below,2011-02-24,Employed,M,87197,Urban,Single,63,35.0,45,0.0,3,Personal Auto,Personal L2,Offer2,Branch,247,Two-Door Car,Medsize,Manual,February,2011
7,California,5990,Yes,Premium,College,2011-01-19,Employed,M,66839,Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal L1,Offer2,Branch,739,Sports Car,Medsize,Manual,January,2011
8,Oregon,17114,No,Extended,Master,2011-01-04,Employed,F,70961,Suburban,Married,85,19.0,8,0.0,2,Corporate Auto,Corporate L3,Offer2,Agent,408,Four-Door Car,Small,Manual,January,2011
9,Arizona,5155,No,Extended,High School or Below,2011-01-02,Employed,M,82730,Urban,Married,127,13.0,31,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,443,SUV,Large,Automatic,January,2011
10,Oregon,19955,No,Extended,High School or Below,2011-01-31,Employed,F,69096,Rural,Married,99,24.0,32,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,65,Four-Door Car,Medsize,Manual,January,2011
11,California,5455,No,Basic,Master,2011-01-26,Employed,M,66334,Suburban,Single,69,25.0,25,0.0,4,Personal Auto,Personal L3,Offer4,Call Center,331,Two-Door Car,Medsize,Automatic,January,2011
12,Arizona,12836,No,Premium,High School or Below,2011-02-28,Unemployed,M,0,Suburban,Married,116,6.0,28,0.0,2,Personal Auto,Personal L2,Offer3,Agent,835,Two-Door Car,Medsize,Manual,February,2011
13,California,4627,Yes,Basic,Master,2011-01-16,Employed,F,79487,Suburban,Divorced,114,20.0,87,0.0,1,Special Auto,Special L1,Offer2,Branch,547,SUV,Medsize,Manual,January,2011
14,California,5327,No,Basic,High School or Below,2011-02-07,Employed,F,76717,Urban,Married,66,26.0,10,0.0,6,Personal Auto,Personal L3,Offer4,Call Center,301,Two-Door Car,Large,Automatic,February,2011
15,Oregon,2498,No,Basic,High School or Below,2011-01-17,Unemployed,M,0,Urban,Married,69,5.0,74,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,272,Two-Door Car,Medsize,Automatic,January,2011
16,California,2736,No,Basic,College,2011-02-14,Disabled,M,17533,Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal L3,Offer1,Agent,350,Two-Door Car,Medsize,Automatic,February,2011
17,California,3747,Yes,Extended,College,2011-02-26,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,20,Two-Door Car,Large,Automatic,February,2011
18,California,7247,No,Basic,Bachelor,2011-02-23,Unemployed,F,0,Suburban,Single,104,9.0,58,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,499,SUV,Medsize,Automatic,February,2011
19,Oregon,6274,No,Extended,High School or Below,2011-02-14,Medical Leave,F,13662,Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal L1,Offer1,Agent,408,Four-Door Car,Small,Manual,February,2011
20,Oregon,15032,No,Basic,College,2011-01-15,Employed,F,59456,Suburban,Married,189,11.0,7,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,907,Luxury Car,Large,Automatic,January,2011
21,California,5107,No,Basic,Bachelor,2011-02-02,Employed,M,70174,Rural,Married,64,15.0,80,0.0,7,Personal Auto,Personal L2,Offer1,Agent,129,Four-Door Car,Medsize,Manual,February,2011
22,Oregon,2502,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate L1,Offer1,Agent,355,Four-Door Car,Medsize,Automatic,February,2011
